NBA SALARIES,,,
,,,
Atlanta Hawks             Total:,"$43,125,502 ",,
Dikembe Mutombo ...............,"12,820,249",,
Isaiah Rider ..................,"5,410,000",,
Alan Henderson ................,"5,318,437",,
Lorenzen Wright ...............,"4,400,000",,
Bimbo Coles ...................,"2,300,000",,
Chris Crawford ................,"2,000,000",,
LaPhonso Ellis ................,"1,925,000",,
Jim Jackson ...................,"1,925,000",,
Duane Ferrell .................,"1,625,000",[released,8/99]
Jason Terry ...................,"1,468,920",,
Scott Pollard .................,"1,063,680",[released,2/99]
Cal Bowdler ...................,"1,025,880",,
Roshown McLeod ................,"914,760",,
Dion Glover ...................,"893,400",,
Efthimios Rentzias ............,"658,700",[1997 1st,rd pick*]
Jeff Sheppard .................,"385,000",[complete,d contract*]
Brandon Williams ..............,"35,176",[released,12/99]
,,,
----,,,
,,,
Boston Celtics,"$46,152,875 ",,
Antoine Walker ................,"9,000,000",,
Kenny Anderson ................,"6,680,000",,
Vitaly Potapenko ..............,"3,810,000",,
Dana Barros ...................,"3,500,000",,
Eric Williams .................,"3,336,000",,
Greg Minor ....................,"2,880,000",,
Pervis Ellison ................,"2,750,000",,
Tony Battie ...................,"2,530,920",,
Walter McCarty ................,"2,500,000",,
Dino Radja ....................,"2,270,500",[bought o,ut 7/97*]
Calbert Cheaney ...............,"2,000,000",,
Danny Fortson .................,"1,678,800",,
Paul Pierce ...................,"1,503,960",,
Eric Washington ...............,"550,000",[released,10/99]
Doug Overton ..................,"492,000",,
Adrian Griffin ................,"385,000",,
Marty Conlon ..................,"229,059",[released,12/99]
Wayne Turner ..................,"30,000",[released,11/99]
Jamel Thomas ..................,"26,636",[released,12/99]
,,,
----,,,
,,,
Charlotte Hornets,"$38,619,012 ",,
Elden Campbell ................,"7,975,000",,
Derrick Coleman ...............,"7,370,000",,
Anthony Mason .................,"4,860,100",,
Bobby Phills ..................,"4,060,000",[deceased,", still paid]"
Baron Davis ...................,"2,712,480",,
David Wesley ..................,"2,520,000",,
Eddie Jones ...................,"2,500,000",,
Dale Ellis ....................,"2,095,250",,
Eldridge Recasner .............,"1,100,000",,
Ricky Davis ...................,"878,160",,
Chucky Brown ..................,"510,000",[minimum,"$1,000,000]"
Eddie Robinson ................,"600,000",,
Todd Fuller ...................,"485,000",,
Michael Hawkins ...............,"465,029",,
Brad Miller ...................,"385,000",,
Derek Hood ....................,"49,721",[released,11/99]
Tyrone Grant ..................,"37,290",[released,11/99]
Jason Miskiri .................,"15,982",[released,11/99]
,,,
----,,,
,,,
Chicago Bulls              Total,"$27,032,368 ",[adjusted,from listing]
Will Perdue ...................,"5,300,000",,
Hersey Hawkins ................,"4,164,100",,
John Starks ...................,"4,000,000",,
Elton Brand ...................,"3,375,960",,
Dickey Simpkins ...............,"1,500,000",,
Randy Brown ...................,"1,200,000",,
Chris Anstey ..................,"1,113,720",,
Ron Artest ....................,"1,079,760",,
Fred Hoiberg ..................,"800,000",,
Keith Booth ...................,"776,880",[released,11/99]
Corey Benjamin ................,"696,000",,
Matt Maloney ..................,"600,000",,
B.J. Armstrong ................,"510,000",[minimum,"$1,000,000]"
Bruce Bowen ...................,"510,000",[released,2/00]
James Cotton ..................,"460,000",[released,10/99]
Michael Ruffin ................,"401,875",,
Kornel David ..................,"175,882",[released,1/00]
Dedric Willoughby .............,"134,956",[released,1/00]
Lari Ketner ...................,"92,338",[released,12/99]
Rusty LaRue ...................,"40,588",[released,12/99]
Khalid Reeves .................,"30,309",[released,1/00]
Chris Carr ....................,"30,000",,
Maceo Baston ..................,"20,000",[released,10/99]
Brett Robisch .................,"20,000",[released,10/99]
,,,
----,,,
,,,
Cleveland Cavaliers        Total,"$46,547,966 ",,
Shawn Kemp ....................,"10,780,000",,
Zydrunas Ilgauskas ............,"9,000,000",,
Wesley Person .................,"4,900,000",,
Danny Ferry ...................,"4,000,000",,
Bob Sura ......................,"3,760,000",,
Lamond Murray .................,"3,000,000",,
Cedric Henderson ..............,"2,400,000",,
Mark Bryant ...................,"2,000,000",,
Andre Miller ..................,"1,682,280",,
Andrew DeClercq ...............,"1,680,000",,
Trajan Langdon ................,"1,394,280",,
Brevin Knight .................,"1,234,080",,
Ryan Stack ....................,"385,000",,
Benoit Benjamin ...............,"123,529",[released,11/99]
A.J. Bramlett .................,"118,974",[released,1/00]
Mark Hendrickson ..............,"62,764",[released,1/00]
Kornel David ..................,"27,059",[released,1/00]
[Earl Boykins signed minimum co,ntract 2/00,,
Lari Ketner signed 10-day cont,ract (minim,um) 2/00,
Donny Marshall signed 10-day c,ontract (mi,nimum) 2/00,]
,,,
----,,,
,,,
Dallas Mavericks           Total,"$39,479,500 ",,
Shawn Bradley .................,"7,560,000",[actually,earning about $2 million]
Michael Finley ................,"7,200,000",,
Steve Nash ....................,"5,500,000",,
Robert Pack ...................,"4,050,000",,
Cedric Ceballos ...............,"3,500,000",,
Erick Strickland ..............,"2,240,000",,
Gary Trent ....................,"2,000,000",,
Hot Rod Williams ..............,"1,925,000",,
Sean Rooks ....................,"1,920,000",,
Dirk Nowitzki .................,"1,583,040",,
Hubert Davis ..................,"752,500",,
Ansu Sesay ....................,"535,000",[complete,d contract*]
Leon Smith ....................,"449,920",[released,2/00]
Bruno Sundov ..................,"385,000",,
Randell Jackson ...............,"115,500",[released,11/99]
Rick Hughes ...................,"115,423",[released,1/00]
Damon Jones ...................,"106,441",[signed f,or season 1/00 (min.)]
Greg Buckner ..................,"47,647",[signed f,or season 1/00 (min.)]
Kebu Stewart ..................,"18,941",[released,11/99]
Ira Bowman ....................,"4,529",[released,11/99]
Kevin Ollie ...................,"2,853",[released,10/99]
Jason Sasser ..................,"2,706",[released,10/99]
[Dennis Rodman signed minimum c,ontract 2/0,0],
,,,
----,,,
,,,
Denver Nuggets             Total,"$43,205,814 ",[adjusted,from listing]
Antonio McDyess ...............,"9,900,000",,
Nick Van Exel .................,"8,354,614",,
