PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.C. Green,LAL,36,9-Jun,225,Oregon State,USA,1985,1,23,82,5,5.9,1,8.2,8.00%,16.00%,10.90%,48.20%,5.80%
A.J. Bramlett,CLE,23,10-Jun,227,Arizona,USA,1999,2,39,8,1,2.8,0,-30.4,14.10%,18.90%,14.00%,19.00%,0.00%
Aaron McKie,PHI,27,5-Jun,209,Temple,USA,1994,1,17,82,8,3,2.9,1.6,2.30%,10.10%,16.70%,49.70%,20.20%
Aaron Williams,WAS,28,9-Jun,225,Xavier,USA,Undrafted,Undrafted,Undrafted,81,7.6,5,0.7,1.5,10.60%,16.20%,17.40%,57.20%,6.20%
Adam Keefe,UTA,30,9-Jun,230,Stanford,USA,1992,1,10,62,2.2,2.2,0.5,-3.1,8.40%,16.50%,14.30%,46.30%,9.30%
Adonal Foyle,GSW,25,10-Jun,250,Colgate,St. Vincent &...,1997,1,8,76,5.5,5.6,0.6,-9.5,9.40%,14.60%,12.40%,50.00%,4.00%
Adrian Griffin,BOS,25,5-Jun,215,Seton Hall,USA,Undrafted,Undrafted,Undrafted,72,6.7,5.2,2.5,-0.1,6.30%,14.00%,12.60%,50.30%,13.50%
Al Harrington,IND,20,9-Jun,254,None,USA,1998,1,25,50,6.6,3.2,0.8,5.8,5.80%,13.30%,19.50%,52.40%,7.30%
Alan Henderson,ATL,27,9-Jun,235,Indiana,USA,1995,1,16,82,13.2,7,0.9,-6.9,9.40%,10.90%,19.10%,50.30%,4.50%
Aleksandar Radojevic,TOR,23,3-Jul,245,Barton Community College,USA,1999,1,12,3,2.3,2.7,0.3,-14,5.30%,23.10%,22.70%,36.30%,7.70%
Allan Houston,NYK,29,6-Jun,200,Tennessee,USA,1993,1,11,82,19.7,3.3,2.7,2.7,1.30%,7.40%,23.30%,56.90%,13.00%
Allen Iverson,PHI,25,Jun-00,165,Georgetown,USA,1996,1,1,70,28.4,3.8,4.7,2.5,2.40%,7.00%,33.40%,49.60%,22.00%
Alonzo Mourning,MIA,30,10-Jun,261,Georgetown,USA,1992,1,2,79,21.7,9.5,1.6,5.4,8.40%,18.90%,27.80%,59.60%,8.60%
Alvin Williams,TOR,25,5-Jun,185,Villanova,USA,1997,2,47,55,5.3,1.5,2.3,-4.9,3.10%,7.30%,19.20%,46.30%,25.80%
Andrae Patterson,MIN,24,9-Jun,238,Indiana,USA,1998,2,46,5,1.2,0.4,0.2,0,4.50%,5.90%,9.40%,75.00%,6.30%
Andre Miller,CLE,24,2-Jun,203,Utah,USA,1999,1,8,82,11.1,3.4,5.8,-1.7,4.10%,9.20%,21.70%,51.70%,38.60%
Andrew DeClercq,CLE,27,10-Jun,230,Florida,USA,1995,2,34,82,6.6,5.4,0.7,-3.3,8.50%,15.20%,14.50%,53.00%,5.00%
Andrew Lang,NYK,34,11-Jun,275,Arkansas,USA,1988,2,28,19,3.1,3.2,0.2,1,6.90%,17.60%,13.50%,44.00%,2.10%
