"","player_name","salary","TEAM","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","ppg","Tax","inflation","wins","MVP","MIP","Sixth_man","DPOY","ROY","NBA_1","NBA_2","NBA_3","Rookie_1","Rookie_2","Def_1","Def_2"
"1","Kobe Bryant","27849000","LAL","6'6","205","None","USA","1996","1","13","2","2013","SG","34","78","78","38.6"," 9.5","20.4","0.463","1.7","5.2","0.324","7.8","15.2","0.510","0.504","6.7"," 8.0","0.839","0.8"," 4.7"," 5.6"," 6.0","1.4","0.3","3.7","2.2","27.3","12.30%","2.1","45","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES"
"2","Brandon Roy","21459805","MIN","6'6","211","Washington","USA","2006","1","6","3.5","2013","SG","28"," 5"," 5","24.4"," 2.2"," 7.0","0.314","0.0","1.8","0.000","2.2"," 5.2","0.423","0.314","1.4"," 2.0","0.700","0.6"," 2.2"," 2.8"," 4.6","0.6","0.0","1.4","1.0"," 5.8","9.85%","2.1","31","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"3","Dirk Nowitzki","20907128","DAL","7'0""","245","None","Germany","1998","1","9","1.2","2013","PF","34","53","47","31.3"," 6.5","13.7","0.471","1.2","3.0","0.414","5.2","10.8","0.487","0.516","3.1"," 3.6","0.860","0.7"," 6.2"," 6.8"," 2.5","0.7","0.7","1.3","1.8","17.3","0%","2.1","41","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"4","Joe Johnson","19752645","BKN","6'7""","240","Arkansas","USA","2001","1","10","5.7","2013","SG","31","72","72","36.7"," 6.2","14.6","0.423","2.1","5.5","0.375","4.1"," 9.1","0.452","0.493","1.8"," 2.2","0.820","0.7"," 2.3"," 3.0"," 3.5","0.7","0.2","1.7","1.4","16.3","8.82%","2.1","NA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"5","Carmelo Anthony","19450000","NYK","6'8""","230","Syracuse","USA","2003","1","3","6.6","2013","PF","28","67","67","37.0","10.0","22.2","0.449","2.3","6.2","0.379","7.6","16.0","0.476","0.502","6.3"," 7.6","0.830","2.0"," 4.9"," 6.9"," 2.6","0.8","0.5","2.6","3.1","28.7","8.82%","2.1","54","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"6","Dwight Howard","19261200","LAL","6'11""","265","None","USA","2004","1","1","3.1","2013","C","27","76","76","35.8"," 6.2","10.7","0.578","0.0","0.1","0.167","6.2","10.6","0.581","0.579","4.7"," 9.5","0.492","3.3"," 9.1","12.4"," 1.4","1.1","2.4","3.0","3.8","17.1","12.30%","2.1","45","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"7","Pau Gasol","19000000","LAL","7'0""","250","None","Spain","2001","1","3","3","2013","PF","32","49","42","33.8"," 5.5","11.8","0.466","0.2","0.6","0.286","5.3","11.2","0.475","0.473","2.6"," 3.6","0.702","2.3"," 6.3"," 8.6"," 4.1","0.5","1.2","2.1","1.9","13.7","12.30%","2.1","45","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"8","Elton Brand","18160354","DAL","6'9""","254","Duke","USA","1999","1","1","-2.4","2013","C","33","72","18","21.2"," 3.1"," 6.6","0.473","0.0","0.0","0.000","3.1"," 6.6","0.474","0.473","0.9"," 1.3","0.710","1.8"," 4.2"," 6.0"," 1.0","0.7","1.3","0.8","2.7"," 7.2","0%","2.1","41","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"9","Chris Paul","17779457","LAC","6'0""","175","Wake Forest","USA","2005","1","4","9.9","2013","PG","27","70","70","33.4"," 5.9","12.2","0.481","1.1","3.3","0.328","4.8"," 8.9","0.538","0.526","4.1"," 4.6","0.885","0.8"," 3.0"," 3.7"," 9.7","2.4","0.1","2.3","2.0","16.9","12.30%","2.1","56","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"10","Kevin Durant","17548838","OKC","6'9""","235","Texas","USA","2007","1","2","12.4","2013","SF","24","81","81","38.5"," 9.0","17.7","0.510","1.7","4.1","0.416","7.3","13.6","0.539","0.559","8.4"," 9.3","0.905","0.6"," 7.3"," 7.9"," 4.6","1.4","1.3","3.5","1.8","28.1","5.25%","2.1","60","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO"
