"","X1","X2","X3","X4"
"1",NA,"Team","2003/04","2003/04(*)"
"2",1,"New York","$89,444,820","$122,695,207"
"3",2,"Portland","$82,956,768","$113,795,272"
"4",3,"Dallas","$79,536,723","$109,103,854"
"5",4,"Minnesota","$71,272,042","$97,766,844"
"6",5,"Sacramento","$68,372,826","$93,789,867"
"7",6,"Phoenix","$66,931,770","$91,813,111"
"8",7,"Atlanta","$64,497,340","$88,473,698"
"9",8,"LA Lakers","$64,123,085","$87,960,317"
"10",9,"Brooklyn","$63,697,123","$87,376,007"
"11",10,"Toronto","$63,033,243","$86,465,335"
"12",11,"Philadelphia","$60,411,079","$82,868,401"
"13",12,"Boston","$60,185,915","$82,559,536"
"14",13,"Indiana","$58,156,236","$79,775,341"
"15",14,"Memphis","$57,378,323","$78,708,245"
"16",15,"Chicago","$55,489,797","$76,117,676"
"17",16,"Houston","$55,401,430","$75,996,458"
"18",17,"Detroit","$53,442,834","$73,309,768"
"19",18,"Golden State","$53,376,708","$73,219,061"
"20",19,"Milwaukee","$53,229,826","$73,017,578"
"21",20,"Oklahoma City","$52,347,476","$71,807,223"
"22",21,"Orlando","$50,588,419","$69,394,246"
"23",22,"New Orleans","$49,800,204","$68,313,022"
"24",23,"Miami","$47,349,374","$64,951,114"
"25",24,"San Antonio","$46,464,064","$63,736,698"
"26",25,"Cleveland","$46,186,472","$63,355,914"
"27",26,"Washington","$45,682,902","$62,665,145"
"28",27,"Denver","$39,398,646","$54,044,766"
"29",28,"LA Clippers","$39,114,363","$53,654,803"
"30",29,"Utah","$34,747,674","$47,664,834"
"31",30,"Charlotte",NA,NA
